circular_date,effective_date,symbol,circular_ref,gap_days,is_post_oct_1_2025
2024-12-20,2025-02-28,ABBOTINDIA,FAOP65702,70,False
2024-12-20,2025-02-28,ATUL,FAOP65702,70,False
2024-12-20,2025-02-28,BATAINDIA,FAOP65702,70,False
2024-12-20,2025-02-28,CANFINHOME,FAOP65702,70,False
2024-12-20,2025-02-28,COROMANDEL,FAOP65702,70,False
2024-12-20,2025-02-28,CUB,FAOP65702,70,False
2024-12-20,2025-02-28,GNFC,FAOP65702,70,False
2024-12-20,2025-02-28,GUJGASLTD,FAOP65702,70,False
2024-12-20,2025-02-28,INDIAMART,FAOP65702,70,False
2024-12-20,2025-02-28,IPCALAB,FAOP65702,70,False
2024-12-20,2025-02-28,LALPATHLAB,FAOP65702,70,False
2024-12-20,2025-02-28,METROPOLIS,FAOP65702,70,False
2024-12-20,2025-02-28,NAVINFLUOR,FAOP65702,70,False
2024-12-20,2025-02-28,PVRINOX,FAOP65702,70,False
2024-12-20,2025-02-28,SUNTV,FAOP65702,70,False
2024-12-20,2025-02-28,UBL,FAOP65702,70,False
2025-01-22,2025-03-28,JKCEMENT,FAOP66251,65,False
2025-01-22,2025-03-28,LTTS,FAOP66251,65,False
2025-03-21,2025-05-27,APOLLOTYRE,FAOP67222,67,False
2025-03-21,2025-05-27,DEEPAKNTR,FAOP67222,67,False
2025-03-21,2025-05-27,ESCORTS,FAOP67222,67,False
2025-03-21,2025-05-27,MRF,FAOP67222,67,False
2025-03-21,2025-05-27,RAMCOCEM,FAOP67222,67,False
2025-05-22,2025-08-01,AARTIIND,FAOP68113,71,False
2025-05-22,2025-08-01,BSOFT,FAOP68113,71,False
2025-05-22,2025-08-01,HINDCOPPER,FAOP68113,71,False
2025-05-22,2025-08-01,MGL,FAOP68113,71,False
2025-05-22,2025-08-01,PEL,FAOP68113,71,False
2025-05-22,2025-08-01,ACC,,71,False
2025-05-22,2025-08-01,BALKRISIND,,71,False
2025-05-22,2025-08-01,CHAMBLFERT,,71,False
2025-05-22,2025-08-01,M&MFIN,,71,False
2025-05-22,2025-08-01,TATACOM,,71,False
2025-06-23,2025-08-29,ABFRL,FAOP68685,67,False
2025-06-23,2025-08-29,ATGL,FAOP68685,67,False
2025-06-23,2025-08-29,CESC,FAOP68685,67,False
2025-06-23,2025-08-29,GRANULES,FAOP68685,67,False
2025-06-23,2025-08-29,IRB,FAOP68685,67,False
2025-06-23,2025-08-29,JSL,FAOP68685,67,False
2025-06-23,2025-08-29,POONAWALLA,FAOP68685,67,False
2025-06-23,2025-08-29,SJVN,FAOP68685,67,False
2025-10-24,2025-12-31,CYIENT,FAOP70954,68,True
2025-10-24,2025-12-31,HFCL,FAOP70954,68,True
2025-10-24,2025-12-31,NCC,FAOP70954,68,True
2025-10-24,2025-12-31,TITAGARH,FAOP70954,68,True
2025-12-23,2026-02-25,IRCTC,FAOP71649,64,True
2026-02-23,2026-04-30,BALRAMCHIN,,66,True
2026-02-23,2026-04-30,INTELLECT,,66,True
2026-02-23,2026-04-30,JUBLFOOD,,66,True
2026-02-23,2026-04-30,PERSISTENT,,66,True
