effective_date,announced_date,category,severity,affects,description,circular_ref,source_url
2023-09-01,2023-07-01,tax,medium,"STT_drag;option_premium","STT on options sale increased to 0.0625% on premium (was on notional)",,
2024-04-01,2024-02-15,surveillance,low,"surveillance_list","SEBI revised ESM framework (Enhanced Surveillance Measure) — new entry/exit criteria for illiquid stocks",,
2024-09-13,2024-09-12,fno_structure,medium,"single_stock_FO;MWPL","Removed 16 stocks from F&O after failing eligibility criteria (BANDHANBNK, CANBK, etc.) — quarter sigma cycle",NSE/FAOP/2024-09,
2024-10-01,2024-07-23,tax,high,"STT_drag;option_premium;F&O_speculation","STT futures 0.0125%→0.02% (60% hike); STT options on premium 0.0625%→0.1% (60% hike). Budget 2024 announcement.","Budget 2024",https://www.icicidirect.com/research/equity/finace/new-stt-rules-in-futures-and-options-trading
2024-11-13,2024-10-01,fno_structure,medium,"weekly_expiry;BankNifty_flow","Last BANKNIFTY weekly contract expiry — weekly options discontinued for BANKNIFTY",,
2024-11-20,2024-10-01,fno_structure,high,"weekly_expiry;index_options;F&O_speculation","Single weekly expiry per exchange — NSE keeps NIFTY only; BANKNIFTY/FINNIFTY/MIDCPNIFTY/NIFTYNXT50 weekly options stopped. Major flow redistribution.","SEBI/HO/MRD/TPD/CIR/P/2024/...",https://zerodha.com/z-connect/business-updates/sebis-new-rules-for-index-derivatives-heres-whats-changing
2024-12-24,2024-10-01,fno_structure,high,"index_options;F&O_speculation;option_premium","BANKNIFTY lot size 15→30 (existing quarterly/half-yearly contracts cutover)",,https://www.outlookmoney.com/invest/equity/nse-announces-increased-lot-sizes-for-derivatives-contracts
2024-12-26,2024-10-01,fno_structure,high,"index_options;F&O_speculation;option_premium","NIFTY lot size 25→75 (3x increase; existing quarterly/half-yearly contracts cutover). Major retail-flow shift to cash segment.",,https://www.outlookmoney.com/invest/equity/nse-announces-increased-lot-sizes-for-derivatives-contracts
2025-02-01,2024-10-01,margin,high,"option_premium;F&O_speculation;MIS_leverage","Full option premium upfront — no leverage on long options. SEBI ends option-buying via reduced margin.",,
2025-04-01,2024-10-01,fno_monitoring,medium,"intraday_position_limit;F&O_speculation","Intraday position snapshots — minimum 4 random snapshots per session for cash + F&O",,
2025-04-28,2024-10-01,margin,medium,"MIS_leverage;cash_settlement","T+1 margin collection (was T+2). Brokers must collect all margins by next working day except VaR + ELM.",,https://www.stockgro.club/blogs/intraday-trading/sebi-new-rules-for-intraday-margin-2025/
2025-10-01,2025-05-29,fno_position,critical,"MWPL;single_stock_FO;F&O_speculation;single_stock_FO_speculator_unwind","SEBI tightens MWPL formula: min(15% free float, 65× avg cash volume) — most mid-caps see MWPL cut 50-80%. Single-stock position limits: individual 10%, prop 20%, FPI/broker 30%. New FutEq OI methodology.","SEBI/HO/MRD/TPD-1/P/CIR/2025/79",https://www.5paisa.com/news/sebi-implements-stricter-fo-rules-from-october-1-to-strengthen-market-stability
2025-10-30,2025-10-30,eligibility,medium,"index_derivatives;non_benchmark_indices","SEBI implementation of derivative eligibility for non-benchmark indices. Nifty Bank, Nifty Financial Services methodology revised.","SEBI CIR 2025-10-30",
2025-11-03,2025-05-29,fno_monitoring,medium,"MWPL;F&O_speculation;intraday_ban","Intraday MWPL/FutEq OI monitoring — 4 random checks per session. Stocks can enter+exit ban intraday.",,
2026-04-01,2026-02-01,tax,critical,"STT_drag;F&O_speculation;option_premium","STT futures 0.02%→0.05% (150% hike); STT options on premium 0.1%→0.15% (50% hike). Budget 2026 announcement.","Budget 2026",https://1finance.co.in/blog/stt-futures-options-increased-budget-2026-for-fno-investors/
2026-04-01,2026-03-01,fno_structure,low,"single_stock_FO;F&O_speculation","6 stocks added to F&O segment (per quarter-sigma March 2026 cycle)","NSE/FAOP/2026-03",https://www.paytmmoney.com/blog/fo-segment-expansion-nse-adds-six-stocks-derivatives-april-2026/
