dims,k,cell,n,pf,wr,net
month,1,month=2026-04,137,1.7714451815500039,71.53284671532847,22539.714818735894
"month,sub_period",2,month=2026-04 | sub_period=war,137,1.7714451815500039,71.53284671532847,22539.714818735894
"R_size_bucket,sub_period",2,R_size_bucket=1-1.5% | sub_period=pre_war,150,1.3667624982166309,64.66666666666666,11399.45317173682
"bar1_strength_bucket,sub_period",2,bar1_strength_bucket=0.5-1 | sub_period=war,106,1.3547598242472048,69.81132075471697,9080.1665409967
"gap_bucket,R_size_bucket",2,gap_bucket=0.75-1.0 | R_size_bucket=0.5-1%,110,1.307290865717197,68.18181818181817,9096.993325544654
gap_bucket,1,gap_bucket=1.5-2.0,107,1.2359675429018697,67.28971962616822,6188.697628164118
"dow,sub_period",2,dow=Mon | sub_period=war,132,1.2081407188762074,64.39393939393939,7727.524107741431
month,1,month=2025-04,129,1.20626639274669,64.34108527131784,6018.656573022489
"month,sub_period",2,month=2025-04 | sub_period=pre_war,129,1.20626639274669,64.34108527131784,6018.656573022489
